,type,month,value,lowerbnd,upperbnd
0,1bed,2022-01,2398,2689,2107
1,1bed,2023-01,2504,2823,2185
2,1bed,2024-01,2609,2970,2249
3,1bed,2025-01,2715,3127,2303
4,1bed,2026-01,2820,3290,2351
5,1bed,2027-01,2926,3457,2394
6,1bed,2022-02,2369,2631,2108
7,1bed,2023-02,2462,2748,2175
8,1bed,2024-02,2554,2878,2231
9,1bed,2025-02,2647,3017,2277
10,1bed,2026-02,2740,3161,2318
11,1bed,2027-02,2832,3310,2355
12,1bed,2022-03,2328,2559,2096
13,1bed,2023-03,2413,2666,2159
14,1bed,2024-03,2498,2785,2211
15,1bed,2025-03,2583,2910,2255
16,1bed,2026-03,2667,3041,2294
17,1bed,2027-03,2752,3175,2329
18,1bed,2022-04,2372,2612,2132
19,1bed,2023-04,2457,2720,2194
20,1bed,2024-04,2543,2840,2246
21,1bed,2025-04,2629,2968,2289
22,1bed,2026-04,2714,3101,2328
23,1bed,2027-04,2800,3238,2362
24,1bed,2022-05,2286,2499,2073
25,1bed,2023-05,2362,2595,2129
26,1bed,2024-05,2438,2701,2174
27,1bed,2025-05,2514,2815,2213
28,1bed,2026-05,2589,2933,2246
29,1bed,2027-05,2665,3054,2277
30,1bed,2022-06,2321,2545,2098
31,1bed,2023-06,2403,2647,2158
32,1bed,2024-06,2484,2761,2207
33,1bed,2025-06,2566,2882,2250
34,1bed,2026-06,2647,3008,2287
35,1bed,2027-06,2729,3137,2321
36,1bed,2022-07,2515,2802,2229
37,1bed,2023-07,2616,2931,2302
38,1bed,2024-07,2718,3073,2362
39,1bed,2025-07,2818,3224,2413
40,1bed,2026-07,2919,3382,2457
41,1bed,2027-07,3020,3544,2497
42,1bed,2022-08,2427,2646,2207
43,1bed,2023-08,2505,2745,2265
44,1bed,2024-08,2584,2856,2313
45,1bed,2025-08,2663,2974,2352
46,1bed,2026-08,2742,3096,2387
47,1bed,2027-08,2820,3223,2418
48,1bed,2022-09,2453,2720,2185
49,1bed,2023-09,2552,2844,2259
50,1bed,2024-09,2651,2982,2319
51,1bed,2025-09,2749,3128,2371
52,1bed,2026-09,2848,3280,2417
53,1bed,2027-09,2947,3435,2459
54,1bed,2022-10,2478,2738,2218
55,1bed,2023-10,2565,2849,2280
56,1bed,2024-10,2652,2974,2330
57,1bed,2025-10,2739,3106,2371
58,1bed,2026-10,2825,3244,2407
59,1bed,2027-10,2912,3386,2438
60,1bed,2022-11,2508,2785,2231
61,1bed,2023-11,2609,2913,2306
62,1bed,2024-11,2711,3054,2367
63,1bed,2025-11,2812,3204,2420
64,1bed,2026-11,2913,3360,2466
65,1bed,2027-11,3014,3520,2508
66,1bed,2022-12,2515,2782,2247
67,1bed,2023-12,2612,2905,2319
68,1bed,2024-12,2709,3040,2379
69,1bed,2025-12,2807,3185,2429
70,1bed,2026-12,2904,3335,2473
71,1bed,2027-12,3001,3489,2513
0,2bed,2022-01,3049,3334,2764
1,2bed,2023-01,3149,3462,2837
2,2bed,2024-01,3250,3603,2897
3,2bed,2025-01,3351,3754,2947
4,2bed,2026-01,3451,3911,2991
5,2bed,2027-01,3552,4072,3031
6,2bed,2022-02,2952,3198,2706
7,2bed,2023-02,3035,3304,2766
8,2bed,2024-02,3117,3422,2813
9,2bed,2025-02,3200,3548,2853
10,2bed,2026-02,3283,3679,2887
11,2bed,2027-02,3366,3814,2918
12,2bed,2022-03,3087,3382,2792
13,2bed,2023-03,3182,3505,2859
14,2bed,2024-03,3278,3643,2912
15,2bed,2025-03,3373,3790,2956
16,2bed,2026-03,3468,3944,2993
17,2bed,2027-03,3564,4102,3025
18,2bed,2022-04,3174,3464,2885
19,2bed,2023-04,3270,3587,2953
20,2bed,2024-04,3366,3724,3007
21,2bed,2025-04,3461,3871,3052
22,2bed,2026-04,3557,4024,3090
23,2bed,2027-04,3652,4181,3124
24,2bed,2022-05,2989,3151,2828
25,2bed,2023-05,3046,3223,2869
26,2bed,2024-05,3103,3303,2903
27,2bed,2025-05,3160,3388,2931
28,2bed,2026-05,3216,3477,2955
29,2bed,2027-05,3273,3568,2978
30,2bed,2022-06,3006,3155,2856
31,2bed,2023-06,3060,3224,2897
32,2bed,2024-06,3116,3301,2930
33,2bed,2025-06,3170,3382,2959
34,2bed,2026-06,3225,3466,2984
35,2bed,2027-06,3280,3553,3007
36,2bed,2022-07,3271,3544,2998
37,2bed,2023-07,3372,3671,3072
38,2bed,2024-07,3472,3811,3134
39,2bed,2025-07,3573,3959,3186
40,2bed,2026-07,3673,4114,3233
41,2bed,2027-07,3774,4273,3275
42,2bed,2022-08,3232,3499,2965
43,2bed,2023-08,3331,3624,3039
44,2bed,2024-08,3431,3761,3100
45,2bed,2025-08,3530,3907,3152
46,2bed,2026-08,3629,4059,3198
47,2bed,2027-08,3728,4215,3241
48,2bed,2022-09,3232,3513,2951
49,2bed,2023-09,3334,3641,3026
50,2bed,2024-09,3436,3783,3088
51,2bed,2025-09,3537,3934,3140
52,2bed,2026-09,3639,4091,3187
53,2bed,2027-09,3740,4253,3228
54,2bed,2022-10,3086,3278,2895
55,2bed,2023-10,3149,3359,2939
56,2bed,2024-10,3212,3449,2975
57,2bed,2025-10,3275,3546,3004
58,2bed,2026-10,3338,3647,3029
59,2bed,2027-10,3401,3751,3051
60,2bed,2022-11,3167,3437,2898
61,2bed,2023-11,3260,3555,2965
62,2bed,2024-11,3353,3687,3020
63,2bed,2025-11,3446,3828,3065
64,2bed,2026-11,3539,3974,3105
65,2bed,2027-11,3632,4124,3140
66,2bed,2022-12,3070,3287,2853
67,2bed,2023-12,3145,3382,2907
68,2bed,2024-12,3219,3488,2951
69,2bed,2025-12,3294,3601,2987
70,2bed,2026-12,3368,3718,3019
71,2bed,2027-12,3443,3839,3047
0,3bed,2022-01,4283,4761,3805
1,3bed,2023-01,4449,4973,3926
2,3bed,2024-01,4616,5207,4024
3,3bed,2025-01,4782,5458,4107
4,3bed,2026-01,4949,5719,4179
5,3bed,2027-01,5115,5987,4243
6,3bed,2022-02,4067,4403,3731
7,3bed,2023-02,4185,4553,3816
8,3bed,2024-02,4302,4718,3886
9,3bed,2025-02,4420,4896,3944
10,3bed,2026-02,4538,5080,3995
11,3bed,2027-02,4655,5269,4041
12,3bed,2022-03,4083,4441,3726
13,3bed,2023-03,4208,4600,3816
14,3bed,2024-03,4333,4777,3890
15,3bed,2025-03,4458,4964,3952
16,3bed,2026-03,4583,5160,4006
17,3bed,2027-03,4708,5361,4055
18,3bed,2022-04,4184,4596,3772
19,3bed,2023-04,4315,4767,3864
20,3bed,2024-04,4447,4957,3936
21,3bed,2025-04,4578,5161,3995
22,3bed,2026-04,4709,5373,4044
23,3bed,2027-04,4840,5592,4088
24,3bed,2022-05,3773,3948,3599
25,3bed,2023-05,3833,4024,3642
26,3bed,2024-05,3893,4109,3677
27,3bed,2025-05,3953,4199,3706
28,3bed,2026-05,4012,4294,3731
29,3bed,2027-05,4072,4391,3753
30,3bed,2022-06,3795,3970,3620
31,3bed,2023-06,3855,4047,3663
32,3bed,2024-06,3916,4133,3699
33,3bed,2025-06,3976,4224,3728
34,3bed,2026-06,4037,4319,3754
35,3bed,2027-06,4097,4417,3777
36,3bed,2022-07,4061,4420,3703
37,3bed,2023-07,4189,4582,3797
38,3bed,2024-07,4318,4762,3874
39,3bed,2025-07,4446,4953,3939
40,3bed,2026-07,4574,5152,3996
41,3bed,2027-07,4702,5357,4048
42,3bed,2022-08,4308,4804,3811
43,3bed,2023-08,4481,5025,3938
44,3bed,2024-08,4655,5270,4040
45,3bed,2025-08,4828,5532,4125
46,3bed,2026-08,5002,5806,4198
47,3bed,2027-08,5175,6087,4264
48,3bed,2022-09,4311,4742,3881
49,3bed,2023-09,4464,4935,3992
50,3bed,2024-09,4616,5149,4083
51,3bed,2025-09,4768,5377,4159
52,3bed,2026-09,4920,5615,4226
